ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
8,カメール,,,,みず,,げきりゅう,,あめうけざら,59,63,80,65,80,58,405,59 63 80 65 80 58 合計405,RGBP,カントー,1,かめポケモン,中間進化,パートナーポケモン,,,Wartortle,卡咪龜,war(戦争) + turtle(カメ)
9,カメックス,,,,みず,,げきりゅう,,あめうけざら,79,83,100,85,105,78,530,79 83 100 85 105 78 合計530,RGBP,カントー,1,こうらポケモン,最終進化,パートナーポケモン,,,Blastoise,水箭龜,blast(爆風、爆発) + tortoise(リクガメ)
9.1,メガカメックス,メガカメ,,,みず,,メガランチャー,,,79,103,120,135,115,78,630,79 103 120 135 115 78 合計630,XY,カロス,6,こうらポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
10,キャタピー,,,,むし,,りんぷん,,にげあし,45,30,35,20,20,45,195,45 30 35 20 20 45 合計195,RGBP,カントー,1,いもむしポケモン,進化前,序盤虫,,,Caterpie,綠毛蟲, caterpillar(いもむし)
11,トランセル,,,,むし,,だっぴ,,,50,20,55,25,25,30,205,50 20 55 25 25 30 合計205,RGBP,カントー,1,さなぎポケモン,中間進化,序盤虫,,,Metapod,鐵甲蛹,metamorphosis(変形、変質) + pod(繭、さや)
12,バタフリー,,,,むし,ひこう,ふくがん,,いろめがね,60,45,50,90,80,70,395,60 45 50 90 80 70 合計395,RGBP,カントー,1,ちょうちょポケモン,最終進化,序盤虫,,,Butterfree,巴大蝶,butterfly(蝶)  + free(自由)
13,ビードル,,,,むし,どく,りんぷん,,にげあし,40,35,30,20,20,50,195,40 35 30 20 20 50 合計195,RGBP,カントー,1,けむしポケモン,進化前,序盤虫,,,Weedle,獨角蟲,worm(虫) + needle(針)
14,コクーン,,,,むし,どく,だっぴ,,,45,25,50,25,25,35,205,45 25 50 25 25 35 合計205,RGBP,カントー,1,さなぎポケモン,中間進化,序盤虫,,,Kakuna,鐵殼蛹,cocoon(繭)
15,スピアー,,,,むし,どく,むしのしらせ,,スナイパー,65,90,40,45,80,75,395,65 90 40 45 80 75 合計395,RGBP,カントー,1,どくばちポケモン,最終進化,序盤虫,,,Beedrill,大針蜂,bee(蜂) + drill(ドリル)
15.1,メガスピアー,,,,むし,どく,てきおうりょく,,,65,150,40,15,80,145,495,65 150 40 15 80 145 合計495,ORAS,ホウエン,6,どくばちポケモン,最終進化,序盤虫,メガシンカ,,,,
16,ポッポ,,,,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,40,45,40,35,35,56,251,40 45 40 35 35 56 合計251,RGBP,カントー,1,ことりポケモン,進化前,序盤飛行,,,Pidgey,波波,pigeon(ハト) + budgieセキセイインコ)
17,ピジョン,,,,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,63,60,55,50,50,71,349,63 60 55 50 50 71 合計349,RGBP,カントー,1,とりポケモン,中間進化,序盤飛行,,,Pidgeotto,比比鳥,pigeon(ハト) + diciotto(18 ※イタリア語)
18,ピジョット,,,,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,83,80,75,70,70,101,479,83 80 75 70 70 101 合計479,RGBP,カントー,1,とりポケモン,最終進化,序盤飛行,,,Pidgeot,大比鳥,pigeon(ハト) + jet(ジェット)
18.1,メガピジョット,,,,ノーマル,ひこう,ノーガード,,,83,80,80,135,80,121,579,83 80 80 135 80 121 合計579,ORAS,ホウエン,6,とりポケモン,最終進化,序盤飛行,メガシンカ,,,,
19,コラッタ,,,,ノーマル,,にげあし,こんじょう,はりきり,30,56,35,25,35,72,253,30 56 35 25 35 72 合計253,RGBP,カントー,1,ねずみポケモン,進化前,序盤ノーマル,,,Rattata,小拉達,rat(ネズミ)+ attack(攻撃する)
19.1,コラッタ(アローラのすがた),アローラコラッタ,,,あく,ノーマル,くいしんぼう,はりきり,あついしぼう,30,56,35,25,35,72,253,30 56 35 25 35 72 合計253,SM,アローラ,7,ねずみポケモン,進化前,序盤ノーマル,リージョンフォーム,,,,
20,ラッタ,,,,ノーマル,,にげあし,こんじょう,はりきり,55,81,60,50,70,97,413,55 81 60 50 70 97 合計413,RGBP,カントー,1,ねずみポケモン,最終進化,序盤ノーマル,,,Raticate,拉達,rat(ネズミ)+ eradicate(根絶する)
20.1,ラッタ(アローラのすがた),アローララッタ,,,あく,ノーマル,くいしんぼう,はりきり,あついしぼう,75,71,70,40,80,77,413,75 71 70 40 80 77 合計413,SM,アローラ,7,ねずみポケモン,最終進化,序盤ノーマル,リージョンフォーム,,,,
21,オニスズメ,,,,ノーマル,ひこう,するどいめ,,スナイパー,40,60,30,31,31,70,262,40 60 30 31 31 70 合計262,RGBP,カントー,1,ことりポケモン,進化前,,,,Spearow,烈雀,spear(槍) + sparrow(スズメ)
22,オニドリル,,,,ノーマル,ひこう,するどいめ,,スナイパー,65,90,65,61,61,100,442,65 90 65 61 61 100 合計442,RGBP,カントー,1,くちばしポケモン,最終進化,,,,Fearow,大嘴雀,fear(恐怖) + sparrow(スズメ)
23,アーボ,,,,どく,,いかく,だっぴ,きんちょうかん,35,60,44,40,54,55,288,35 60 44 40 54 55 合計288,RGBP,カントー,1,へびポケモン,進化前,,,,Ekans,阿柏蛇,snake(蛇)を逆さまにした形
24,アーボック,,,,どく,,いかく,だっぴ,きんちょうかん,60,95,69,65,79,80,448,60 95 69 65 79 80 合計448,RGBP,カントー,1,コブラポケモン,最終進化,,,,Arbok,阿柏怪,cobra(コブラ)を逆さまにした形
25,ピカチュウ,ピカチュー,,,でんき,,せいでんき,,ひらいしん,35,55,40,50,50,90,320,35 55 40 50 50 90 合計320,RGBP,カントー,1,ねずみポケモン,中間進化,エレキュート,序盤電気,,Pikachu,皮卡丘,光 + ちゅう(ネズミの擬声語)
25.1,ピカチュウ(あいぼう),あいぼうピカチュウ,相棒ピカチュウ,,でんき,,せいでんき,,ひらいしん,45,80,50,75,60,120,430,45 80 50 75 60 120 合計430,LPLE,カントー,7,ねずみポケモン,中間進化,エレキュート,,,,,
26,ライチュウ,ライチュー,,,でんき,,せいでんき,,ひらいしん,60,90,55,90,80,110,485,60 90 55 90 80 110 合計485,RGBP,カントー,1,ねずみポケモン,最終進化,エレキュート,序盤電気,,Raichu,雷丘,雷 + ちゅう(ネズミの擬声語)
26.1,ライチュウ(アローラのすがた),アローラライチュウ,アロライ,,でんき,エスパー,サーフテール,,,60,85,50,95,85,110,485,60 85 50 95 85 110 合計485,SM,アローラ,7,ねずみポケモン,最終進化,エレキュート,リージョンフォーム,序盤電気,,,
26.2,メガライチュウX,,,,でんき,,,,,60,135,95,90,95,110,585,60 135 95 90 95 110 合計585,M次元ラッシュ,カロス,9,ねずみポケモン,最終進化,エレキュート,メガシンカ,,,,
26.3,メガライチュウY,,,,でんき,,,,,60,100,55,160,80,130,585,60 100 55 160 80 130 合計585,M次元ラッシュ,カロス,9,ねずみポケモン,最終進化,エレキュート,メガシンカ,,,,
27,サンド,,,,じめん,,すながくれ,,すなかき,50,75,85,20,30,40,300,50 75 85 20 30 40 合計300,RGBP,カントー,1,ねずみポケモン,進化前,,,,Sandshrew,穿山鼠,sand(砂) + shrew(トガリネズミ、口やかましい女)
27.1,サンド(アローラのすがた),アローラサンド,,,こおり,はがね,ゆきがくれ,,ゆきかき,50,75,90,10,35,40,300,50 75 90 10 35 40 合計300,SM,アローラ,7,ねずみポケモン,進化前,,リージョンフォーム,,,,
28,サンドパン,,,,じめん,,すながくれ,,すなかき,75,100,110,45,55,65,450,75 100 110 45 55 65 合計450,RGBP,カントー,1,ねずみポケモン,最終進化,,,,Sandslash,穿山王,sand(砂) + slash(さっと切る、深く切る、削減する)
28.1,サンドパン(アローラのすがた),アローラサンドパン,,,こおり,はがね,ゆきがくれ,,ゆきかき,75,100,120,25,65,65,450,75 100 120 25 65 65 合計450,SM,アローラ,7,ねずみポケモン,最終進化,,リージョンフォーム,,,,
29,ニドラン♀,ニドランメス,,,どく,,どくのトゲ,とうそうしん,はりきり,55,47,52,40,40,41,275,55 47 52 40 40 41 合計275,RGBP,カントー,1,どくばりポケモン,進化前,,,,Nidoran♀,尼多蘭,needle(針) + rhino(サイ)
30,ニドリーナ,,,,どく,,どくのトゲ,とうそうしん,はりきり,70,62,67,55,55,56,365,70 62 67 55 55 56 合計365,RGBP,カントー,1,どくばりポケモン,中間進化,,,,Nidorina,尼多娜,needle(針) + rhino(サイ) + a(女性名詞)
31,ニドクイン,,,,どく,じめん,どくのトゲ,とうそうしん,ちからずく,90,92,87,75,85,76,505,90 92 87 75 85 76 合計505,RGBP,カントー,1,ドリルポケモン,最終進化,,,,Nidoqueen,尼多后,needle(針) + queen(姫)
32,ニドラン♂,ニドランオス,,,どく,,どくのトゲ,とうそうしん,はりきり,46,57,40,40,40,50,273,46 57 40 40 40 50 合計273,RGBP,カントー,1,どくばりポケモン,進化前,,,,Nidoran♂,尼多朗,needle(針) + rhino(サイ)
33,ニドリーノ,,,,どく,,どくのトゲ,とうそうしん,はりきり,61,72,57,55,55,65,365,61 72 57 55 55 65 合計365,RGBP,カントー,1,どくばりポケモン,中間進化,,,,Nidorino,尼多力諾,needle(針) + rhino(サイ) + o(男性名詞)
34,ニドキング,,,,どく,じめん,どくのトゲ,とうそうしん,ちからずく,81,102,77,85,75,85,505,81 102 77 85 75 85 合計505,RGBP,カントー,1,ドリルポケモン,最終進化,,,,Nidoking,尼多王,needle(針) + king (王様)
35,ピッピ,ギエピー,,,フェアリー,,メロメロボディ,マジックガード,フレンドガード,70,45,48,60,65,35,323,70 45 48 60 65 35 合計323,RGBP,カントー,1,ようせいポケモン,中間進化,,,,Clefairy,皮皮,clef(音部記号) + fairy (妖精)
36,ピクシー,,,,フェアリー,,メロメロボディ,マジックガード,てんねん,95,70,73,95,90,60,483,95 70 73 95 90 60 合計483,RGBP,カントー,1,ようせいポケモン,最終進化,,,,Clefable,皮可西,clef(音部記号) +  fable(寓話、神話)
36.1,メガピクシー,,,,フェアリー,ひこう,,,,95,80,93,135,110,70,583,95 80 93 135 110 70 合計583,ZA,カロス,9,ようせいポケモン,最終進化,メガシンカ,,,,,
37,ロコン,,,,ほのお,,もらいび,,ひでり,38,41,40,50,65,65,299,38 41 40 50 65 65 合計299,RGBP,カントー,1,きつねポケモン,進化前,,,,Vulpix,六尾,vulpine(キツネの(ような)、ずるい)  + six (6)
37.1,ロコン(アローラのすがた),アローラロコン,アロコン,ケオケオ,こおり,,ゆきがくれ,,ゆきふらし,38,41,40,50,65,65,299,38 41 40 50 65 65 合計299,SM,アローラ,7,きつねポケモン,進化前,,リージョンフォーム,,,,
38,キュウコン,,,,ほのお,,もらいび,,ひでり,73,76,75,81,100,100,505,73 76 75 81 100 100 合計505,RGBP,カントー,1,きつねポケモン,最終進化,,,,Ninetales,九尾,nine(9) + tail(尻尾)
38.1,キュウコン(アローラのすがた),アローラキュウコン,アロキュウ,,こおり,フェアリー,ゆきがくれ,,ゆきふらし,73,67,75,81,100,109,505,73 67 75 81 100 109 合計505,SM,アローラ,7,きつねポケモン,最終進化,,リージョンフォーム,,,,
39,プリン,,,,ノーマル,フェアリー,メロメロボディ,かちき,フレンドガード,115,45,20,45,25,20,270,115 45 20 45 25 20 合計270,RGBP,カントー,1,ふうせんポケモン,中間進化,,,,Jigglypuff,胖丁,"Jiggle(	(…を)軽く揺すぶる) + puff(フワッとふくれたもの、プットふくこと)"
40,プクリン,,,,ノーマル,フェアリー,メロメロボディ,かちき,おみとおし,140,70,45,85,50,45,435,140 70 45 85 50 45 合計435,RGBP,カントー,1,ふうせんポケモン,最終進化,,,,Wigglytuff,胖可丁,wiggle(ぴくぴく動かす、(小刻みに)揺れる) + tough(固い、頑丈な)
41,ズバット,,,,どく,ひこう,せいしんりょく,,すりぬけ,40,45,35,30,40,55,245,40 45 35 30 40 55 合計245,RGBP,カントー,1,こうもりポケモン,進化前,,,,Zubat,超音蝠,ズバッと(日本語)+ bat(コウモリ)
42,ゴルバット,,,,どく,ひこう,せいしんりょく,,すりぬけ,75,80,70,65,75,90,455,75 80 70 65 75 90 合計455,RGBP,カントー,1,こうもりポケモン,中間進化,,,,Golbat,大嘴蝠,gollop (ゴクゴク飲む) + bat(コウモリ)
43,ナゾノクサ,アルキメンデス,,,くさ,どく,ようりょくそ,,にげあし,45,50,55,75,65,30,320,45 50 55 75 65 30 合計320,RGBP,カントー,1,ざっそうポケモン,進化前,,,,Oddish,走路草,odd(変な、妙な、奇数の) + radish(大根)
44,クサイハナ,,,,くさ,どく,ようりょくそ,,あくしゅう,60,65,70,85,75,40,395,60 65 70 85 75 40 合計395,RGBP,カントー,1,ざっそうポケモン,中間進化,,,,Gloom,臭臭花,gloom(薄暗い、陰気になる) + bloom((観賞用の)花)
45,ラフレシア,,,,くさ,どく,ようりょくそ,,ほうし,75,80,85,110,90,50,490,75 80 85 110 90 50 合計490,RGBP,カントー,1,フラワーポケモン,最終進化,,,,Vileplume,霸王花,vile(下品な、下劣な、いやな) + plume plant (珊瑚花)
46,パラス,,,,むし,くさ,ほうし,かんそうはだ,しめりけ,35,70,55,45,55,25,285,35 70 55 45 55 25 合計285,RGBP,カントー,1,きのこポケモン,進化前,,,,Paras,派拉斯,parasite(寄生虫、居候)
47,パラセクト,,,,むし,くさ,ほうし,かんそうはだ,しめりけ,60,95,80,60,80,30,405,60 95 80 60 80 30 合計405,RGBP,カントー,1,きのこポケモン,最終進化,,,,Parasect,派拉斯特,parasite(寄生虫) + insect(虫)
48,コンパン,,,,むし,どく,ふくがん,いろめがね,にげあし,60,55,50,40,55,45,305,60 55 50 40 55 45 合計305,RGBP,カントー,1,こんちゅうポケモン,進化前,,,,Venonat,毛球,venom(毒液、悪意) + gnat(ブヨ、小言)
49,モルフォン,,,,むし,どく,りんぷん,いろめがね,ミラクルスキン,70,65,60,90,75,90,450,70 65 60 90 75 90 合計450,RGBP,カントー,1,どくがポケモン,最終進化,,,,Venomoth,摩魯蛾,venom(毒液、悪意) +  moth(蛾)
50,ディグダ,,,,じめん,,すながくれ,ありじごく,すなのちから,10,55,25,35,45,95,265,10 55 25 35 45 95 合計265,RGBP,カントー,1,もぐらポケモン,進化前,,,,Diglett,地鼠,dig(掘る) + lett(接尾辞：小さい)
50.1,ディグダ(アローラのすがた),アローラディグダ,,,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,10,55,30,35,45,90,265,10 55 30 35 45 90 合計265,SM,アローラ,7,もぐらポケモン,進化前,,リージョンフォーム,,,,
51,ダグトリオ,,,,じめん,,すながくれ,ありじごく,すなのちから,35,100,50,50,70,120,425,35 100 50 50 70 120 合計425,RGBP,カントー,1,もぐらポケモン,最終進化,,,,Dugtrio,三地鼠,dug(掘る、発見する) + trio(トリオ)
51.1,ダグトリオ(アローラのすがた),アローラダグトリオ,,,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,35,100,60,50,70,110,425,35 100 60 50 70 110 合計425,SM,アローラ,7,もぐらポケモン,最終進化,,リージョンフォーム,,,,
52,ニャース,,,,ノーマル,,ものひろい,テクニシャン,きんちょうかん,40,45,35,40,40,90,290,40 45 35 40 40 90 合計290,RGBP,カントー,1,ばけねこポケモン,進化前,,,,Meowth,喵喵,Meow(ネコの鳴き声) + wealth (富)
52.1,ニャース(アローラのすがた),アローラニャース,,,あく,,ものひろい,テクニシャン,びびり,40,35,35,50,40,90,290,40 35 35 50 40 90 合計290,SM,アローラ,7,ばけねこポケモン,進化前,,リージョンフォーム,,,,
52.2,ニャース(ガラルのすがた),ガラルニャース,,,はがね,,ものひろい,かたいつめ,きんちょうかん,40,35,35,50,40,90,290,40 35 35 50 40 90 合計290,SWSH,ガラル,8,ばけねこポケモン,進化前,,リージョンフォーム,,,,
53,ペルシアン,,,,ノーマル,,じゅうなん,テクニシャン,きんちょうかん,65,70,60,65,65,115,440,65 70 60 65 65 115 合計440,RGBP,カントー,1,シャムネコポケモン,最終進化,,,,Persian,貓老大,Pesian cat (ペルシャ猫)
53.1,ペルシアン(アローラのすがた),アローラペルシアン,,,あく,,ファーコート,テクニシャン,びびり,65,60,60,75,65,115,440,65 60 60 75 65 115 合計440,SM,アローラ,7,シャムネコポケモン,最終進化,,リージョンフォーム,,,,
54,コダック,,,,みず,,しめりけ,ノーてんき,すいすい,50,52,48,65,50,55,320,50 52 48 65 50 55 合計320,RGBP,カントー,1,あひるポケモン,進化前,,,,Psyduck,可達鴨,psychic(超能力の、精神的な) + duck (アヒル、鴨)
55,ゴルダック,,,,みず,,しめりけ,ノーてんき,すいすい,80,82,78,95,80,85,500,80 82 78 95 80 85 合計500,RGBP,カントー,1,あひるポケモン,最終進化,,,,Golduck,哥達鴨,gold(金) + duck(アヒル、鴨)
56,マンキー,,,,かくとう,,やるき,いかりのつぼ,まけんき,40,80,35,35,45,70,305,40 80 35 35 45 70 合計305,RGBP,カントー,1,ぶたざるポケモン,進化前,,,,Mankey,猴怪,manky (劣っていて役にたたない) + monkey(サル)
57,オコリザル,,,,かくとう,,やるき,いかりのつぼ,まけんき,65,105,60,60,70,95,455,65 105 60 60 70 95 合計455,RGBP,カントー,1,ぶたざるポケモン,中間進化,,,,Primeape,火爆猴,prime(主要な、最良の) + ape (類人猿)
58,ガーディ,,,,ほのお,,いかく,もらいび,せいぎのこころ,55,70,45,70,50,60,350,55 70 45 70 50 60 合計350,RGBP,カントー,1,こいぬポケモン,進化前,,,,Growlithe,卡蒂狗,growl(うなる、がみがみ不平を言う) + lithe(しなやかな、柔軟な)
58.1,ガーディ(ヒスイのすがた),ヒスイガーディ,,,ほのお,いわ,いかく,もらいび,いしあたま,60,75,45,65,50,55,350,60 75 45 65 50 55 合計350,LA,ヒスイ,8,みはりポケモン,進化前,,リージョンフォーム,,,,
59,ウインディ,,,,ほのお,,いかく,もらいび,せいぎのこころ,90,110,80,100,80,95,555,90 110 80 100 80 95 合計555,RGBP,カントー,1,でんせつポケモン,最終進化,,,,Arcanine,風速狗,arcane(秘密の、不可解な、不思議な) + canine(イヌ科の、イヌのような)
59.1,ウインディ(ヒスイのすがた),ヒスイウインディ,,,ほのお,いわ,いかく,もらいび,いしあたま,95,115,80,95,80,90,555,95 115 80 95 80 90 合計555,LA,ヒスイ,8,でんせつポケモン,最終進化,,リージョンフォーム,,,,
60,ニョロモ,,,,みず,,ちょすい,しめりけ,すいすい,40,50,40,40,40,90,300,40 50 40 40 40 90 合計300,RGBP,カントー,1,おたまポケモン,進化前,,,,Poliwag,蚊香蝌蚪,polliwog(オタマジャクシ) + wag ((体の部分を)振る、振り動かす)
61,ニョロゾ,,,,みず,,ちょすい,しめりけ,すいすい,65,65,65,50,50,90,385,65 65 65 50 50 90 合計385,RGBP,カントー,1,おたまポケモン,中間進化,,,,Poliwhirl,蚊香君,polliwog(オタマジャクシ) + whirl(ぐるぐる回す、回転)
62,ニョロボン,,,,みず,かくとう,ちょすい,しめりけ,すいすい,90,95,95,70,90,70,510,90 95 95 70 90 70 合計510,RGBP,カントー,1,おたまポケモン,最終進化,,,,Poliwrath,蚊香泳士,polliwog(オタマジャクシ) + wrath(激怒、憤り)
63,ケーシィ,,,,エスパー,,シンクロ,せいしんりょく,マジックガード,25,20,15,105,55,90,310,25 20 15 105 55 90 合計310,RGBP,カントー,1,ねんりきポケモン,進化前,,,,Abra,凱西,Abracadabra(手品等で用いられる呪文) + cabra(スペイン語でひつじ)
64,ユンゲラー,,,,エスパー,,シンクロ,せいしんりょく,マジックガード,40,35,30,120,70,105,400,40 35 30 120 70 105 合計400,RGBP,カントー,1,ねんりきポケモン,中間進化,,,,Kadabra,勇基拉,Abracadabra(手品等で用いられる呪文) + cabra(スペイン語でひつじ)
65,フーディン,,,,エスパー,,シンクロ,せいしんりょく,マジックガード,55,50,45,135,95,120,500,55 50 45 135 95 120 合計500,RGBP,カントー,1,ねんりきポケモン,最終進化,通信進化,,,Alakazam,胡地,Alkazam(手品等で用いられる呪文)
65.1,メガフーディン,,,,エスパー,,トレース,,,55,50,65,175,105,150,600,55 50 65 175 105 150 合計600,XY,カロス,6,ねんりきポケモン,最終進化,通信進化,メガシンカ,,,,
66,ワンリキー,,,,かくとう,,こんじょう,ノーガード,ふくつのこころ,70,80,50,35,35,35,305,70 80 50 35 35 35 合計305,RGBP,カントー,1,かいりきポケモン,進化前,,,,Machop,腕力,macho(男らしい、男らしい人) + chop (チョップする、ぶち切る、刻む)
67,ゴーリキー,,,,かくとう,,こんじょう,ノーガード,ふくつのこころ,80,100,70,50,60,45,405,80 100 70 50 60 45 合計405,RGBP,カントー,1,かいりきポケモン,中間進化,,,,Machoke,豪力,macho(男らしい、男らしい人) + choke(窒息させる、詰まらせる)
68,カイリキー,,,,かくとう,,こんじょう,ノーガード,ふくつのこころ,90,130,80,65,85,55,505,90 130 80 65 85 55 合計505,RGBP,カントー,1,かいりきポケモン,最終進化,通信進化,,,Machamp,怪力,macho(男らしい、男らしい人) + champion (闘士、優勝者)
69,マダツボミ,,,,くさ,どく,ようりょくそ,,くいしんぼう,50,75,35,70,30,40,300,50 75 35 70 30 40 合計300,RGBP,カントー,1,フラワーポケモン,進化前,,,,Bellsprout,喇叭芽,bell(鈴、ベル) + sprout(芽、芽を出す、若者)
70,ウツドン,,,,くさ,どく,ようりょくそ,,くいしんぼう,65,90,50,85,45,55,390,65 90 50 85 45 55 合計390,RGBP,カントー,1,ハエとりポケモン,中間進化,,,,Weepinbell,口呆花,bell(鈴、ベル) + sprout(芽、芽を出す、若者)
71,ウツボット,鬱bot,,,くさ,どく,ようりょくそ,,くいしんぼう,80,105,65,100,70,70,490,80 105 65 100 70 70 合計490,RGBP,カントー,1,ハエとりポケモン,最終進化,,,,Victreebel,大食花,victory(勝利) + tree(木) + bell(鈴、ベル)
71.1,メガウツボット,,,,くさ,どく,,,,80,125,85,135,95,70,590,80 125 85 135 95 70 合計590,ZA,カロス,9,ハエとりポケモン,最終進化,メガシンカ,,,,,
72,メノクラゲ,,,,みず,どく,クリアボディ,ヘドロえき,あめうけざら,40,40,35,50,100,70,335,40 40 35 50 100 70 合計335,RGBP,カントー,1,くらげポケモン,進化前,,,,Tentacool,瑪瑙水母,tentacle(触手、触角) + cool(かっこいい、いかす、冷たい)
73,ドククラゲ,,,,みず,どく,クリアボディ,ヘドロえき,あめうけざら,80,70,65,80,120,100,515,80 70 65 80 120 100 合計515,RGBP,カントー,1,くらげポケモン,最終進化,,,,Tentacruel,毒刺水母,tentacle(触手、触角) + cruel(残酷な、無慈悲な、悲惨な)
74,イシツブテ,,,,いわ,じめん,いしあたま,がんじょう,すながくれ,40,80,100,30,30,20,300,40 80 100 30 30 20 合計300,RGBP,カントー,1,がんせきポケモン,進化前,,,,Geodude,小拳石,geo(地球・土地の接頭辞) + dude(やつ、人)
74.1,イシツブテ(アローラのすがた),アローライシツブテ,,,いわ,でんき,じりょく,がんじょう,エレキスキン,40,80,100,30,30,20,300,40 80 100 30 30 20 合計300,SM,アローラ,7,がんせきポケモン,進化前,,リージョンフォーム,,,,
75,ゴローン,,,,いわ,じめん,いしあたま,がんじょう,すながくれ,55,95,115,45,45,35,390,55 95 115 45 45 35 合計390,RGBP,カントー,1,がんせきポケモン,中間進化,,,,Graveler,隆隆石,gravel(砂利、尿砂) + er(接尾辞：～する人)
75.1,ゴローン(アローラのすがた),アローラゴローン,,,いわ,でんき,じりょく,がんじょう,エレキスキン,55,95,115,45,45,35,390,55 95 115 45 45 35 合計390,SM,アローラ,7,がんせきポケモン,中間進化,,リージョンフォーム,,,,
76,ゴローニャ,,,,いわ,じめん,いしあたま,がんじょう,すながくれ,80,120,130,55,65,45,495,80 120 130 55 65 45 合計495,RGBP,カントー,1,メガトンポケモン,最終進化,通信進化,,,Golem,隆隆岩,golem(ゴーレム)
76.1,ゴローニャ(アローラのすがた),アローラゴローニャ,,,いわ,でんき,じりょく,がんじょう,エレキスキン,80,120,130,55,65,45,495,80 120 130 55 65 45 合計495,SM,アローラ,7,メガトンポケモン,最終進化,通信進化,リージョンフォーム,,,,
77,ポニータ,,,,ほのお,,にげあし,もらいび,ほのおのからだ,50,85,55,65,65,90,410,50 85 55 65 65 90 合計410,RGBP,カントー,1,ひのうまポケモン,進化前,,,,Ponyta,小火馬,pony(子馬、ポニー) + ponytail(ポニーテール)
77.1,ポニータ(ガラルのすがた),ガラルポニータ,,,エスパー,,にげあし,パステルベール,きけんよち,50,85,55,65,65,90,410,50 85 55 65 65 90 合計410,SWSH,ガラル,8,いっかくポケモン,進化前,,リージョンフォーム,,,,
78,ギャロップ,,,,ほのお,,にげあし,もらいび,ほのおのからだ,65,100,70,80,80,105,500,65 100 70 80 80 105 合計500,RGBP,カントー,1,いっかくポケモン,最終進化,,,,Rapidash,烈焰馬,rapid(速い、急な) + ash(灰、火山灰) + dash(急行する、打ち付ける)
